ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
KK Nagar ATM,09/06/15,49,354700,66289883,Tuesday
Christ College ATM,09/06/15,128,668200,124879898,Tuesday
Big Street ATM,10/06/15,139,497100,92903019,Wednesday
Mount Road ATM,10/06/15,39,161000,30089290,Wednesday
Airport ATM,10/06/15,78,363800,67990582,Wednesday
KK Nagar ATM,10/06/15,202,1015200,189730728,Wednesday
Christ College ATM,10/06/15,137,489000,91389210,Wednesday
Big Street ATM,11/06/15,101,423300,79110537,Thursday
Mount Road ATM,11/06/15,134,702100,131215469,Thursday
Airport ATM,11/06/15,65,495900,92678751,Thursday
KK Nagar ATM,11/06/15,203,833600,155791504,Thursday
Christ College ATM,11/06/15,115,430700,80493523,Thursday
Big Street ATM,12/06/15,120,404900,75671761,Friday
Mount Road ATM,12/06/15,96,447500,83633275,Friday
Airport ATM,12/06/15,49,197200,36854708,Friday
KK Nagar ATM,12/06/15,214,858300,160407687,Friday
Christ College ATM,12/06/15,119,413200,77222948,Friday
Big Street ATM,13/06/15,107,410200,76662278,Saturday
Mount Road ATM,13/06/15,80,229000,42797810,Saturday
Airport ATM,13/06/15,106,649200,121328988,Saturday
KK Nagar ATM,13/06/15,79,365700,68345673,Saturday
Christ College ATM,13/06/15,166,762200,142447558,Saturday
Big Street ATM,14/06/15,105,376300,70326707,Sunday
Mount Road ATM,14/06/15,119,347300,64906897,Sunday
Airport ATM,14/06/15,76,511100,95519479,Sunday
KK Nagar ATM,14/06/15,110,530100,99070389,Sunday
Christ College ATM,14/06/15,94,239800,44816222,Sunday
Big Street ATM,15/06/15,109,395700,73952373,Monday
Mount Road ATM,15/06/15,95,482100,90099669,Monday
Airport ATM,15/06/15,71,303600,56739804,Monday
KK Nagar ATM,15/06/15,192,988400,184722076,Monday
Christ College ATM,15/06/15,133,654300,122282127,Monday
Big Street ATM,16/06/15,85,321300,60047757,Tuesday
Mount Road ATM,16/06/15,165,707100,132149919,Tuesday
Airport ATM,16/06/15,86,399100,74587799,Tuesday
KK Nagar ATM,16/06/15,99,276700,51712463,Tuesday
Christ College ATM,16/06/15,111,407000,76064230,Tuesday
Big Street ATM,17/06/15,90,314500,58776905,Wednesday
Mount Road ATM,17/06/15,136,507800,94902742,Wednesday
Airport ATM,17/06/15,70,315100,58889039,Wednesday
KK Nagar ATM,17/06/15,100,588200,109928698,Wednesday
Christ College ATM,17/06/15,113,573900,107256171,Wednesday
Big Street ATM,18/06/15,37,173000,32331970,Thursday
Mount Road ATM,18/06/15,123,461700,86287113,Thursday
Airport ATM,18/06/15,135,839300,156856777,Thursday
KK Nagar ATM,18/06/15,104,590100,110283789,Thursday
Christ College ATM,18/06/15,113,558500,104378065,Thursday
Mount Road ATM,19/06/15,84,357100,66738419,Friday
Airport ATM,19/06/15,73,269500,50366855,Friday
KK Nagar ATM,19/06/15,66,238400,44554576,Friday
Christ College ATM,19/06/15,160,554400,103611816,Friday
Big Street ATM,20/06/15,91,359100,67112199,Saturday
Mount Road ATM,20/06/15,161,556200,103948218,Saturday
Airport ATM,20/06/15,93,519800,97145422,Saturday
KK Nagar ATM,20/06/15,106,564000,105405960,Saturday
Christ College ATM,20/06/15,155,637600,119161064,Saturday
Big Street ATM,21/06/15,113,335500,62701595,Sunday
Mount Road ATM,21/06/15,121,310500,58029345,Sunday
Airport ATM,21/06/15,63,324600,60664494,Sunday
KK Nagar ATM,21/06/15,74,242900,45395581,Sunday
Christ College ATM,21/06/15,158,484400,90529516,Sunday
Big Street ATM,22/06/15,118,445900,83334251,Monday
Mount Road ATM,22/06/15,122,465000,86903850,Monday
Airport ATM,22/06/15,100,469400,87726166,Monday
KK Nagar ATM,22/06/15,77,490000,91576100,Monday
Christ College ATM,22/06/15,156,569500,106433855,Monday
Big Street ATM,23/06/15,90,361800,67616802,Tuesday
Mount Road ATM,23/06/15,69,267500,49993075,Tuesday
Airport ATM,23/06/15,97,497300,92940397,Tuesday
KK Nagar ATM,23/06/15,69,312700,58440503,Tuesday
Christ College ATM,23/06/15,127,369900,69130611,Tuesday
Big Street ATM,24/06/15,99,404800,75653072,Wednesday
Mount Road ATM,24/06/15,145,685800,128169162,Wednesday
Airport ATM,24/06/15,102,560600,104770534,Wednesday
KK Nagar ATM,24/06/15,72,352000,65785280,Wednesday
Christ College ATM,24/06/15,154,827700,154688853,Wednesday
Big Street ATM,25/06/15,121,456800,85371352,Thursday
Mount Road ATM,25/06/15,149,528000,98677920,Thursday
Airport ATM,25/06/15,47,229600,42909944,Thursday
KK Nagar ATM,25/06/15,109,562500,105125625,Thursday
Christ College ATM,25/06/15,154,566800,105929252,Thursday
Big Street ATM,26/06/15,101,261000,48778290,Friday
Mount Road ATM,26/06/15,143,571000,106714190,Friday
Airport ATM,26/06/15,59,252800,47245792,Friday
KK Nagar ATM,26/06/15,105,371300,69392257,Friday
Christ College ATM,26/06/15,109,394800,73784172,Friday
Big Street ATM,27/06/15,143,395700,73952373,Saturday
Mount Road ATM,27/06/15,161,711400,132953546,Saturday
Airport ATM,27/06/15,79,496700,92828263,Saturday
KK Nagar ATM,27/06/15,115,826400,154445896,Saturday
Christ College ATM,27/06/15,135,713200,133289948,Saturday
Big Street ATM,28/06/15,135,399900,74737311,Sunday
Mount Road ATM,28/06/15,111,441000,82418490,Sunday
Airport ATM,28/06/15,59,273900,51189171,Sunday
KK Nagar ATM,28/06/15,116,247800,46311342,Sunday
Christ College ATM,28/06/15,110,339400,63430466,Sunday
Big Street ATM,29/06/15,111,416400,77820996,Monday
Mount Road ATM,29/06/15,136,499900,93426311,Monday
Airport ATM,29/06/15,101,551100,102995079,Monday
KK Nagar ATM,29/06/15,43,217900,40723331,Monday
Christ College ATM,29/06/15,124,473000,88398970,Monday
Big Street ATM,30/06/15,119,414700,77503283,Tuesday
Mount Road ATM,30/06/15,176,698400,130523976,Tuesday
Airport ATM,30/06/15,124,759700,141980333,Tuesday
KK Nagar ATM,30/06/15,130,708400,132392876,Tuesday
Christ College ATM,30/06/15,161,733300,137046437,Tuesday
Big Street ATM,01/07/15,172,745100,139251739,Wednesday
Mount Road ATM,01/07/15,153,673800,125926482,Wednesday
Airport ATM,01/07/15,144,765700,143101673,Wednesday
KK Nagar ATM,01/07/15,157,970700,181414123,Wednesday
Christ College ATM,01/07/15,196,870000,162594300,Wednesday
Big Street ATM,02/07/15,88,329500,61580255,Thursday
Mount Road ATM,02/07/15,137,769800,143867922,Thursday
Airport ATM,02/07/15,154,980300,183208267,Thursday
KK Nagar ATM,02/07/15,152,855900,159959151,Thursday
Christ College ATM,02/07/15,182,902700,168705603,Thursday
Big Street ATM,03/07/15,121,416300,77802307,Friday
Mount Road ATM,03/07/15,120,381300,71261157,Friday
Airport ATM,03/07/15,106,422300,78923647,Friday
KK Nagar ATM,03/07/15,61,195000,36443550,Friday
Christ College ATM,03/07/15,148,642800,120132892,Friday
Big Street ATM,04/07/15,136,531700,99369413,Saturday
Mount Road ATM,04/07/15,179,930900,173975901,Saturday
Airport ATM,04/07/15,94,548700,102546543,Saturday
KK Nagar ATM,04/07/15,66,298700,55824043,Saturday
Christ College ATM,04/07/15,38,175100,32724439,Saturday
Big Street ATM,05/07/15,150,432600,80848614,Sunday
Mount Road ATM,05/07/15,138,388700,72644143,Sunday
Airport ATM,05/07/15,85,610000,114002900,Sunday
KK Nagar ATM,05/07/15,82,431100,80568279,Sunday
Big Street ATM,06/07/15,87,246500,46068385,Monday
Mount Road ATM,06/07/15,177,937300,175171997,Monday
Airport ATM,06/07/15,1,500,93445,Monday
KK Nagar ATM,06/07/15,57,365900,68383051,Monday
Christ College ATM,06/07/15,133,707700,132262053,Monday
Big Street ATM,07/07/15,102,293600,54870904,Tuesday
Mount Road ATM,07/07/15,163,863200,161323448,Tuesday
Airport ATM,07/07/15,50,213800,39957082,Tuesday
KK Nagar ATM,07/07/15,66,331400,61935346,Tuesday
Christ College ATM,07/07/15,149,687300,128449497,Tuesday
Big Street ATM,08/07/15,129,491700,91893813,Wednesday
Mount Road ATM,08/07/15,187,1008600,188497254,Wednesday
Airport ATM,08/07/15,79,390000,72887100,Wednesday
KK Nagar ATM,08/07/15,89,513700,96005393,Wednesday
Christ College ATM,08/07/15,109,555300,103780017,Wednesday
Big Street ATM,09/07/15,106,465800,87053362,Thursday
Mount Road ATM,09/07/15,173,783800,146484382,Thursday
Airport ATM,09/07/15,119,627000,117180030,Thursday
KK Nagar ATM,09/07/15,67,409900,76606211,Thursday
Christ College ATM,09/07/15,126,500700,93575823,Thursday
Big Street ATM,10/07/15,108,423800,79203982,Friday
Mount Road ATM,10/07/15,174,649500,121385055,Friday
Airport ATM,10/07/15,94,421400,78755446,Friday
KK Nagar ATM,10/07/15,179,737200,137775308,Friday
Christ College ATM,10/07/15,146,671900,125571391,Friday
Big Street ATM,11/07/15,124,432600,80848614,Saturday
Mount Road ATM,11/07/15,129,604000,112881560,Saturday
Airport ATM,11/07/15,118,665400,124356606,Saturday
KK Nagar ATM,11/07/15,113,507700,94884053,Saturday
Christ College ATM,11/07/15,194,870000,162594300,Saturday
Big Street ATM,12/07/15,144,506600,94678474,Sunday
Mount Road ATM,12/07/15,162,455400,85109706,Sunday
Airport ATM,12/07/15,134,641100,119815179,Sunday
KK Nagar ATM,12/07/15,75,322400,60253336,Sunday
Christ College ATM,12/07/15,104,258700,48348443,Sunday
Big Street ATM,13/07/15,126,363900,68009271,Monday
Mount Road ATM,13/07/15,127,606800,113404852,Monday
Airport ATM,13/07/15,110,715600,133738484,Monday
KK Nagar ATM,13/07/15,107,585600,109442784,Monday
Christ College ATM,13/07/15,109,452000,84474280,Monday
Big Street ATM,14/07/15,110,310900,58104101,Tuesday
Mount Road ATM,14/07/15,109,513600,95986704,Tuesday
Airport ATM,14/07/15,102,511300,95556857,Tuesday
KK Nagar ATM,14/07/15,37,179200,33490688,Tuesday
Christ College ATM,14/07/15,135,608600,113741254,Tuesday
Big Street ATM,15/07/15,112,364000,68027960,Wednesday
Mount Road ATM,15/07/15,128,540900,101088801,Wednesday
Airport ATM,15/07/15,90,653500,122132615,Wednesday
KK Nagar ATM,15/07/15,84,418200,78157398,Wednesday
Christ College ATM,15/07/15,130,709600,132617144,Wednesday
Big Street ATM,16/07/15,122,470700,87969123,Thursday
Mount Road ATM,16/07/15,31,172500,32238525,Thursday
Airport ATM,16/07/15,132,558900,104452821,Thursday
KK Nagar ATM,16/07/15,63,280000,52329200,Thursday
Christ College ATM,16/07/15,125,676100,126356329,Thursday
Big Street ATM,17/07/15,112,336300,62851107,Friday
Mount Road ATM,17/07/15,97,585500,109424095,Friday
Airport ATM,17/07/15,90,533000,99612370,Friday
KK Nagar ATM,17/07/15,76,260000,48591400,Friday
Christ College ATM,17/07/15,89,372400,69597836,Friday
Big Street ATM,18/07/15,113,227300,42480097,Saturday
Mount Road ATM,18/07/15,89,336400,62869796,Saturday
Airport ATM,18/07/15,88,524500,98023805,Saturday
KK Nagar ATM,18/07/15,94,570400,106602056,Saturday
Big Street ATM,19/07/15,127,328800,61449432,Sunday
Airport ATM,19/07/15,78,372400,69597836,Sunday
KK Nagar ATM,19/07/15,15,34200,6391638,Sunday
Big Street ATM,20/07/15,80,372500,69616525,Monday
Mount Road ATM,20/07/15,120,458300,85651687,Monday
Airport ATM,20/07/15,100,578500,108115865,Monday
KK Nagar ATM,20/07/15,114,642700,120114203,Monday
Christ College ATM,20/07/15,174,907800,169658742,Monday
Big Street ATM,21/07/15,91,212400,39695436,Tuesday
Mount Road ATM,21/07/15,154,620400,115946556,Tuesday
Airport ATM,21/07/15,86,389600,72812344,Tuesday
KK Nagar ATM,21/07/15,149,531700,99369413,Tuesday
Christ College ATM,21/07/15,130,521500,97463135,Tuesday
Big Street ATM,22/07/15,108,331500,61954035,Wednesday
Mount Road ATM,22/07/15,141,534100,99817949,Wednesday
Airport ATM,22/07/15,49,261700,48909113,Wednesday
KK Nagar ATM,22/07/15,73,254200,47507438,Wednesday
Christ College ATM,22/07/15,123,410300,76680967,Wednesday
Big Street ATM,23/07/15,144,540000,100920600,Thursday
Mount Road ATM,23/07/15,145,630400,117815456,Thursday
Airport ATM,23/07/15,74,355800,66495462,Thursday
KK Nagar ATM,23/07/15,99,579600,108321444,Thursday
Christ College ATM,23/07/15,132,589800,110227722,Thursday
Big Street ATM,24/07/15,98,339100,63374399,Friday
Mount Road ATM,24/07/15,114,438500,81951265,Friday
Airport ATM,24/07/15,35,128600,24034054,Friday
KK Nagar ATM,24/07/15,75,347600,64962964,Friday
Christ College ATM,24/07/15,108,307900,57543431,Friday
Big Street ATM,25/07/15,111,292700,54702703,Saturday
Mount Road ATM,25/07/15,186,883600,165136004,Saturday
Airport ATM,25/07/15,55,185200,34612028,Saturday
KK Nagar ATM,25/07/15,57,311200,58160168,Saturday
Christ College ATM,25/07/15,144,653200,122076548,Saturday
Big Street ATM,26/07/15,149,449700,84044433,Sunday
Mount Road ATM,26/07/15,147,418900,78288221,Sunday
Airport ATM,26/07/15,56,236800,44255552,Sunday
Christ College ATM,26/07/15,107,370800,69298812,Sunday
Big Street ATM,27/07/15,118,400600,74868134,Monday
Mount Road ATM,27/07/15,128,478700,89464243,Monday
Airport ATM,27/07/15,74,590400,110339856,Monday
KK Nagar ATM,27/07/15,4,35000,6541150,Monday
Christ College ATM,27/07/15,95,332500,62140925,Monday
Big Street ATM,28/07/15,109,321400,60066446,Tuesday
Mount Road ATM,28/07/15,132,499600,93370244,Tuesday
Airport ATM,28/07/15,35,208600,38985254,Tuesday
KK Nagar ATM,28/07/15,38,127800,23884542,Tuesday
Christ College ATM,28/07/15,106,478300,89389487,Tuesday
Big Street ATM,29/07/15,78,212900,39788881,Wednesday
Mount Road ATM,29/07/15,158,759000,141849510,Wednesday
Airport ATM,29/07/15,72,427300,79858097,Wednesday
KK Nagar ATM,29/07/15,97,676200,126375018,Wednesday
Christ College ATM,29/07/15,127,568800,106303032,Wednesday
Big Street ATM,30/07/15,117,392200,73298258,Thursday
Mount Road ATM,30/07/15,81,315200,58907728,Thursday
Airport ATM,30/07/15,56,271400,50721946,Thursday
KK Nagar ATM,30/07/15,67,300200,56104378,Thursday
Christ College ATM,30/07/15,67,241100,45059179,Thursday
Big Street ATM,31/07/15,150,569900,106508611,Friday
Mount Road ATM,31/07/15,166,585300,109386717,Friday
Airport ATM,31/07/15,73,434300,81166327,Friday
KK Nagar ATM,31/07/15,192,1101500,205859335,Friday
Christ College ATM,31/07/15,141,647100,120936519,Friday
Big Street ATM,01/08/15,177,703600,131495804,Saturday
Mount Road ATM,01/08/15,212,941600,175975624,Saturday
Airport ATM,01/08/15,87,565100,105611539,Saturday
KK Nagar ATM,01/08/15,124,624900,116787561,Saturday
Christ College ATM,01/08/15,197,990400,185095856,Saturday
Big Street ATM,02/08/15,125,491800,91912502,Sunday
Mount Road ATM,02/08/15,224,810400,151455656,Sunday
Airport ATM,02/08/15,84,422700,78998403,Sunday
KK Nagar ATM,02/08/15,91,381400,71279846,Sunday
Christ College ATM,02/08/15,29,110600,20670034,Sunday
Big Street ATM,03/08/15,93,348800,65187232,Monday
Mount Road ATM,03/08/15,204,960200,179451778,Monday
Airport ATM,03/08/15,77,389300,72756277,Monday
KK Nagar ATM,03/08/15,45,177400,33154286,Monday
Christ College ATM,03/08/15,88,393600,73559904,Monday
Big Street ATM,04/08/15,113,527000,98491030,Tuesday
Mount Road ATM,04/08/15,115,479000,89520310,Tuesday
Airport ATM,04/08/15,39,182800,34163492,Tuesday
KK Nagar ATM,04/08/15,22,128400,23996676,Tuesday
Christ College ATM,04/08/15,142,688700,128711143,Tuesday
Big Street ATM,05/08/15,140,482800,90230492,Wednesday
Mount Road ATM,05/08/15,43,217000,40555130,Wednesday
Airport ATM,05/08/15,60,339800,63505222,Wednesday
KK Nagar ATM,05/08/15,150,865200,161697228,Wednesday
Christ College ATM,05/08/15,35,229600,42909944,Wednesday
Big Street ATM,06/08/15,134,422500,78961025,Thursday
Mount Road ATM,06/08/15,194,958500,179134065,Thursday
Airport ATM,06/08/15,72,336100,62813729,Thursday
KK Nagar ATM,06/08/15,118,649000,121291610,Thursday
Christ College ATM,06/08/15,46,140100,26183289,Thursday
Big Street ATM,07/08/15,111,453600,84773304,Friday
Mount Road ATM,07/08/15,153,651000,121665390,Friday
Airport ATM,07/08/15,58,194000,36256660,Friday
KK Nagar ATM,07/08/15,73,359900,67261711,Friday
Christ College ATM,07/08/15,140,540900,101088801,Friday
Big Street ATM,08/08/15,128,581200,108620468,Saturday
Mount Road ATM,08/08/15,217,756800,141438352,Saturday
Airport ATM,08/08/15,63,400200,74793378,Saturday
KK Nagar ATM,08/08/15,78,327900,61281231,Saturday
Christ College ATM,08/08/15,160,950300,177601567,Saturday
Big Street ATM,09/08/15,150,609400,113890766,Sunday
Mount Road ATM,09/08/15,153,589900,110246411,Sunday
Airport ATM,09/08/15,75,393800,73597282,Sunday
KK Nagar ATM,09/08/15,76,333500,62327815,Sunday
Christ College ATM,09/08/15,33,121400,22688446,Sunday
Big Street ATM,10/08/15,131,412100,77017369,Monday
Mount Road ATM,10/08/15,193,667400,124730386,Monday
Airport ATM,10/08/15,84,400600,74868134,Monday
KK Nagar ATM,10/08/15,100,482700,90211803,Monday
Christ College ATM,10/08/15,127,489300,91445277,Monday
Big Street ATM,11/08/15,148,542800,101443892,Tuesday
Mount Road ATM,11/08/15,167,679900,127066511,Tuesday
Airport ATM,11/08/15,90,535700,100116973,Tuesday
KK Nagar ATM,11/08/15,20,65700,12278673,Tuesday
Christ College ATM,11/08/15,126,579400,108284066,Tuesday
Big Street ATM,12/08/15,131,479300,89576377,Wednesday
Mount Road ATM,12/08/15,159,598500,111853665,Wednesday
Airport ATM,12/08/15,60,304000,56814560,Wednesday
KK Nagar ATM,12/08/15,88,487500,91108875,Wednesday
Christ College ATM,12/08/15,128,499800,93407622,Wednesday
Big Street ATM,13/08/15,95,311100,58141479,Thursday
Mount Road ATM,13/08/15,109,473700,88529793,Thursday
Airport ATM,13/08/15,57,370200,69186678,Thursday
KK Nagar ATM,13/08/15,29,160200,29939778,Thursday
Christ College ATM,13/08/15,106,457100,85427419,Thursday
Big Street ATM,14/08/15,116,384200,71803138,Friday
Mount Road ATM,14/08/15,159,624000,116619360,Friday
Airport ATM,14/08/15,24,60800,11362912,Friday
KK Nagar ATM,14/08/15,83,413800,77335082,Friday
Christ College ATM,14/08/15,119,595600,111311684,Friday
Big Street ATM,15/08/15,112,424700,79372183,Saturday
Mount Road ATM,15/08/15,140,571300,106770257,Saturday
Airport ATM,15/08/15,101,512600,95799814,Saturday
KK Nagar ATM,15/08/15,54,230600,43096834,Saturday
Christ College ATM,15/08/15,87,275400,51469506,Saturday
Big Street ATM,16/08/15,142,433500,81016815,Sunday
Mount Road ATM,16/08/15,115,245900,45956251,Sunday
Airport ATM,16/08/15,74,464800,86866472,Sunday
KK Nagar ATM,16/08/15,16,63800,11923582,Sunday
Christ College ATM,16/08/15,106,232600,43470614,Sunday
Big Street ATM,17/08/15,140,476500,89053085,Monday
Mount Road ATM,17/08/15,151,690200,128991478,Monday
Airport ATM,17/08/15,57,125700,23492073,Monday
KK Nagar ATM,17/08/15,22,138800,25940332,Monday
Christ College ATM,17/08/15,114,552200,103200658,Monday
Big Street ATM,18/08/15,126,469200,87688788,Tuesday
Mount Road ATM,18/08/15,142,602000,112507780,Tuesday
Airport ATM,18/08/15,19,162100,30294869,Tuesday
KK Nagar ATM,18/08/15,70,356800,66682352,Tuesday
Christ College ATM,18/08/15,140,599500,112040555,Tuesday
Big Street ATM,19/08/15,132,492900,92118081,Wednesday
Mount Road ATM,19/08/15,197,860600,160837534,Wednesday
Airport ATM,19/08/15,57,398700,74513043,Wednesday
KK Nagar ATM,19/08/15,60,345400,64551806,Wednesday
Christ College ATM,19/08/15,149,574600,107386994,Wednesday
Big Street ATM,20/08/15,132,522700,97687403,Thursday
Mount Road ATM,20/08/15,120,448200,83764098,Thursday
Airport ATM,20/08/15,25,89600,16745344,Thursday
KK Nagar ATM,20/08/15,7,28400,5307676,Thursday
Christ College ATM,20/08/15,137,498900,93239421,Thursday
Big Street ATM,21/08/15,112,330900,61841901,Friday
Mount Road ATM,21/08/15,123,477800,89296042,Friday
Airport ATM,21/08/15,41,229300,42853877,Friday
Christ College ATM,21/08/15,191,741600,138597624,Friday
Big Street ATM,22/08/15,112,377000,70457530,Saturday
Mount Road ATM,22/08/15,200,670200,125253678,Saturday
Airport ATM,22/08/15,53,272900,51002281,Saturday
Christ College ATM,22/08/15,160,571600,106826324,Saturday
Big Street ATM,23/08/15,151,301100,56272579,Sunday
Mount Road ATM,23/08/15,71,230100,43003389,Sunday
Airport ATM,23/08/15,71,342500,64009825,Sunday
Christ College ATM,23/08/15,78,239800,44816222,Sunday
Big Street ATM,24/08/15,85,280700,52460023,Monday
Mount Road ATM,24/08/15,143,541800,101257002,Monday
Airport ATM,24/08/15,61,497200,92921708,Monday
KK Nagar ATM,24/08/15,79,389400,72774966,Monday
Christ College ATM,24/08/15,96,273600,51133104,Monday
Big Street ATM,25/08/15,106,349200,65261988,Tuesday
Mount Road ATM,25/08/15,157,554400,103611816,Tuesday
Airport ATM,25/08/15,35,200100,37396689,Tuesday
KK Nagar ATM,25/08/15,158,708300,132374187,Tuesday
Christ College ATM,25/08/15,138,411400,76886546,Tuesday
Big Street ATM,26/08/15,83,271600,50759324,Wednesday
Mount Road ATM,26/08/15,175,632000,118114480,Wednesday
Airport ATM,26/08/15,59,416700,77877063,Wednesday
KK Nagar ATM,26/08/15,190,971300,181526257,Wednesday
Christ College ATM,26/08/15,124,423800,79203982,Wednesday
Big Street ATM,27/08/15,122,357800,66869242,Thursday
Mount Road ATM,27/08/15,146,659000,123160510,Thursday
Airport ATM,27/08/15,82,369200,68999788,Thursday
KK Nagar ATM,27/08/15,131,486100,90847229,Thursday
Christ College ATM,27/08/15,124,537300,100415997,Thursday
Big Street ATM,28/08/15,122,436400,81558796,Friday
Mount Road ATM,28/08/15,132,531800,99388102,Friday
Airport ATM,28/08/15,83,474800,88735372,Friday
KK Nagar ATM,28/08/15,95,571300,106770257,Friday
Christ College ATM,28/08/15,100,371900,69504391,Friday
Big Street ATM,29/08/15,161,658300,123029687,Saturday
Mount Road ATM,29/08/15,155,493200,92174148,Saturday
Airport ATM,29/08/15,63,335900,62776351,Saturday
KK Nagar ATM,29/08/15,59,198100,37022909,Saturday
Christ College ATM,29/08/15,130,495800,92660062,Saturday
Big Street ATM,30/08/15,126,330800,61823212,Sunday
Mount Road ATM,30/08/15,154,649100,121310299,Sunday
Airport ATM,30/08/15,25,103300,19305737,Sunday
KK Nagar ATM,30/08/15,62,274200,51245238,Sunday
Christ College ATM,30/08/15,91,346900,64832141,Sunday
Big Street ATM,31/08/15,118,383700,71709693,Monday
Mount Road ATM,31/08/15,159,557200,104135108,Monday
Airport ATM,31/08/15,45,262900,49133381,Monday
KK Nagar ATM,31/08/15,114,772700,144409903,Monday
Christ College ATM,31/08/15,123,473900,88567171,Monday
Big Street ATM,01/09/15,135,543800,101630782,Tuesday
Mount Road ATM,01/09/15,203,874500,163435305,Tuesday
Airport ATM,01/09/15,92,507500,94846675,Tuesday
KK Nagar ATM,01/09/15,89,530900,99219901,Tuesday
Christ College ATM,01/09/15,146,783000,146334870,Tuesday
Big Street ATM,02/09/15,143,568500,106246965,Wednesday
Mount Road ATM,02/09/15,162,771400,144166946,Wednesday
Airport ATM,02/09/15,72,429900,80344011,Wednesday
KK Nagar ATM,02/09/15,112,693500,129608215,Wednesday
Christ College ATM,02/09/15,144,828800,154894432,Wednesday
Big Street ATM,03/09/15,126,550200,102826878,Thursday
Mount Road ATM,03/09/15,241,1059300,197972577,Thursday
Airport ATM,03/09/15,80,568200,106190898,Thursday
KK Nagar ATM,03/09/15,98,484200,90492138,Thursday
Christ College ATM,03/09/15,152,799000,149325110,Thursday
Big Street ATM,04/09/15,116,453600,84773304,Friday
Mount Road ATM,04/09/15,137,558200,104321998,Friday
Airport ATM,04/09/15,60,362100,67672869,Friday
KK Nagar ATM,04/09/15,67,270900,50628501,Friday
Christ College ATM,04/09/15,178,823800,153959982,Friday
Big Street ATM,05/09/15,156,395000,73821550,Saturday
Mount Road ATM,05/09/15,249,879400,164351066,Saturday
Airport ATM,05/09/15,76,496000,92697440,Saturday
KK Nagar ATM,05/09/15,43,195200,36480928,Saturday
Christ College ATM,05/09/15,239,1235900,230977351,Saturday
Big Street ATM,06/09/15,118,374900,70065061,Sunday
Mount Road ATM,06/09/15,171,474300,88641927,Sunday
Airport ATM,06/09/15,55,258400,48292376,Sunday
KK Nagar ATM,06/09/15,72,431500,80643035,Sunday
Christ College ATM,06/09/15,90,211800,39583302,Sunday
Big Street ATM,07/09/15,122,498000,93071220,Monday
Mount Road ATM,07/09/15,247,1256600,234845974,Monday
Airport ATM,07/09/15,72,329400,61561566,Monday
KK Nagar ATM,07/09/15,138,725400,135570006,Monday
Christ College ATM,07/09/15,131,598200,111797598,Monday
Big Street ATM,08/09/15,105,394300,73690727,Tuesday
Mount Road ATM,08/09/15,143,493400,92211526,Tuesday
Airport ATM,08/09/15,50,293600,54870904,Tuesday
KK Nagar ATM,08/09/15,120,529600,98976944,Tuesday
Christ College ATM,08/09/15,197,978100,182797109,Tuesday
Big Street ATM,09/09/15,136,433700,81054193,Wednesday
Mount Road ATM,09/09/15,150,582200,108807358,Wednesday
Airport ATM,09/09/15,49,187800,35097942,Wednesday
KK Nagar ATM,09/09/15,85,475700,88903573,Wednesday
Christ College ATM,09/09/15,147,657300,122842797,Wednesday
Big Street ATM,10/09/15,127,580200,108433578,Thursday
Mount Road ATM,10/09/15,181,752800,140690792,Thursday
Airport ATM,10/09/15,33,105300,19679517,Thursday
KK Nagar ATM,10/09/15,94,487600,91127564,Thursday
Christ College ATM,10/09/15,168,762300,142466247,Thursday
Big Street ATM,11/09/15,136,551700,103107213,Friday
Mount Road ATM,11/09/15,80,470200,87875678,Friday
Airport ATM,11/09/15,47,226200,42274518,Friday
KK Nagar ATM,11/09/15,79,406500,75970785,Friday
Christ College ATM,11/09/15,132,695700,130019373,Friday
Big Street ATM,12/09/15,155,480300,89763267,Saturday
Mount Road ATM,12/09/15,177,697100,130281019,Saturday
Airport ATM,12/09/15,49,246900,46143141,Saturday
KK Nagar ATM,12/09/15,48,145900,27267251,Saturday
Christ College ATM,12/09/15,120,687300,128449497,Saturday
Big Street ATM,13/09/15,136,451300,84343457,Sunday
Mount Road ATM,13/09/15,169,356800,66682352,Sunday
Airport ATM,13/09/15,55,156500,29248285,Sunday
KK Nagar ATM,13/09/15,53,263600,49264204,Sunday
Christ College ATM,13/09/15,128,661100,123552979,Sunday
Big Street ATM,14/09/15,87,439800,82194222,Monday
Mount Road ATM,14/09/15,162,642400,120058136,Monday
Airport ATM,14/09/15,60,509900,95295211,Monday
KK Nagar ATM,14/09/15,40,153700,28724993,Monday
Christ College ATM,14/09/15,37,225100,42068939,Monday
Big Street ATM,15/09/15,113,388800,72662832,Tuesday
Mount Road ATM,15/09/15,167,756300,141344907,Tuesday
Airport ATM,15/09/15,73,343400,64178026,Tuesday
KK Nagar ATM,15/09/15,82,324400,60627116,Tuesday
Christ College ATM,15/09/15,137,600300,112190067,Tuesday
Big Street ATM,16/09/15,150,603100,112713359,Wednesday
Mount Road ATM,16/09/15,175,732500,136896925,Wednesday
Airport ATM,16/09/15,61,362400,67728936,Wednesday
KK Nagar ATM,16/09/15,40,143100,26743959,Wednesday
Christ College ATM,16/09/15,121,426100,79633829,Wednesday
Big Street ATM,17/09/15,124,393100,73466459,Thursday
Mount Road ATM,17/09/15,103,420500,78587245,Thursday
